edad;trabajo;estado;educacion;presCasa;prestamo;contacto;mes;dia;duracion;deposito
34;management;married;high.school;yes;no;cellular;jul;tue;838;1
31;blue-collar;divorced;high.school;yes;no;cellular;may;wed;829;1
27;services;single;university.degree;yes;no;cellular;mar;mon;104;1
28;management;married;university.degree;no;no;telephone;jun;wed;771;1
47;housemaid;married;university.degree;yes;no;cellular;aug;mon;232;1
33;management;single;university.degree;yes;yes;cellular;apr;wed;1176;1
31;technician;single;university.degree;yes;no;cellular;nov;mon;984;1
38;blue-collar;married;basic.9y;no;no;telephone;jun;fri;693;1
30;student;single;high.school;no;no;cellular;aug;tue;592;1
32;services;married;high.school;yes;no;telephone;may;wed;628;1
35;technician;single;professional.course;yes;no;cellular;nov;thu;192;1
41;admin.;single;unknown;yes;yes;telephone;may;mon;1111;1
22;blue-collar;single;basic.9y;yes;yes;cellular;jul;mon;848;1
52;technician;married;professional.course;yes;yes;cellular;sep;mon;211;1
29;admin.;single;university.degree;yes;yes;cellular;aug;thu;254;1
50;technician;married;professional.course;yes;no;telephone;may;fri;855;1
29;admin.;married;university.degree;yes;no;cellular;may;mon;565;1
38;admin.;single;university.degree;yes;no;telephone;jun;tue;992;1
26;admin.;single;high.school;no;no;telephone;may;fri;619;1
34;admin.;single;university.degree;no;no;cellular;sep;fri;260;1
41;technician;married;professional.course;unknown;unknown;cellular;jun;tue;318;1
32;blue-collar;married;basic.6y;yes;no;cellular;may;wed;459;1
57;self-employed;married;university.degree;no;yes;cellular;jul;thu;1441;1
58;blue-collar;married;basic.4y;yes;no;telephone;jun;fri;570;1
38;technician;married;professional.course;yes;yes;cellular;mar;thu;63;1
55;entrepreneur;single;unknown;no;no;telephone;jul;wed;542;1
33;admin.;single;university.degree;yes;no;telephone;oct;thu;166;1
39;services;married;high.school;yes;no;cellular;may;thu;328;1
59;admin.;married;university.degree;no;no;telephone;oct;tue;85;1
53;entrepreneur;married;basic.4y;yes;yes;cellular;apr;tue;398;1
48;management;married;university.degree;yes;no;cellular;oct;wed;294;1
62;admin.;married;high.school;no;no;telephone;mar;mon;163;1
24;services;single;high.school;no;no;cellular;jul;thu;1150;1
50;technician;single;university.degree;yes;no;telephone;apr;fri;634;1
46;admin.;divorced;high.school;yes;no;cellular;jun;mon;372;1
42;technician;married;professional.course;no;no;cellular;may;mon;377;1
41;admin.;married;basic.6y;no;no;cellular;apr;fri;1203;1
56;retired;married;high.school;yes;yes;cellular;jul;fri;308;1
32;admin.;single;university.degree;no;no;cellular;aug;wed;823;1
57;admin.;married;unknown;yes;no;cellular;dec;wed;391;1
61;admin.;married;university.degree;yes;no;cellular;jun;wed;1076;1
33;admin.;married;university.degree;yes;no;cellular;may;tue;165;1
33;services;single;university.degree;yes;no;cellular;oct;mon;252;1
34;admin.;single;university.degree;no;no;cellular;nov;thu;169;1
41;services;married;high.school;yes;no;cellular;may;wed;314;1
21;student;single;high.school;no;no;cellular;oct;mon;328;1
38;blue-collar;single;high.school;no;no;cellular;mar;wed;141;1
44;services;married;unknown;no;yes;cellular;jun;mon;151;1
50;admin.;married;university.degree;yes;no;cellular;apr;fri;160;1
50;services;married;basic.4y;yes;no;telephone;may;wed;507;1
47;admin.;married;university.degree;no;no;cellular;aug;wed;470;1
62;management;divorced;high.school;no;no;cellular;aug;mon;405;1
28;admin.;divorced;university.degree;yes;no;cellular;may;thu;1148;1
39;technician;single;university.degree;no;yes;cellular;oct;fri;125;1
60;admin.;married;professional.course;yes;no;cellular;apr;thu;571;1
28;admin.;married;high.school;yes;no;cellular;nov;tue;254;1
45;services;single;unknown;no;no;telephone;apr;fri;541;1
39;technician;single;professional.course;no;no;cellular;jul;mon;617;1
59;blue-collar;married;basic.4y;no;no;cellular;jun;wed;340;1
32;technician;single;university.degree;yes;no;cellular;aug;tue;645;1
31;blue-collar;married;basic.9y;yes;no;telephone;jun;wed;704;1
54;retired;married;professional.course;no;no;cellular;aug;tue;95;1
49;technician;married;unknown;no;no;cellular;apr;fri;378;1
28;services;divorced;high.school;no;yes;cellular;jul;fri;278;1
23;blue-collar;single;basic.9y;no;no;cellular;jul;thu;250;1
66;retired;married;basic.4y;yes;yes;telephone;nov;thu;1127;1
48;admin.;divorced;university.degree;no;no;cellular;may;tue;1062;1
37;management;married;high.school;no;no;cellular;may;fri;292;1
46;services;married;basic.9y;no;no;cellular;may;wed;984;1
59;retired;married;professional.course;no;no;cellular;aug;fri;218;1
30;entrepreneur;single;university.degree;yes;no;cellular;nov;thu;531;1
37;admin.;divorced;university.degree;yes;no;cellular;may;mon;442;1
27;technician;single;university.degree;yes;no;cellular;sep;thu;530;1
58;management;married;university.degree;no;no;cellular;may;thu;289;1
30;admin.;married;university.degree;yes;yes;cellular;apr;thu;739;1
29;technician;married;high.school;yes;no;cellular;jun;fri;365;1
25;admin.;single;high.school;yes;yes;cellular;may;fri;137;0
34;management;single;high.school;no;no;cellular;jul;mon;264;0
58;management;married;basic.4y;yes;yes;cellular;may;wed;184;0
26;admin.;single;high.school;yes;no;telephone;jun;mon;223;0
54;entrepreneur;married;professional.course;no;no;cellular;nov;tue;1855;1
51;blue-collar;divorced;unknown;no;no;telephone;jun;wed;220;0
22;admin.;single;university.degree;yes;no;cellular;sep;mon;194;1
48;blue-collar;married;basic.9y;no;no;telephone;may;mon;607;1
48;technician;married;high.school;unknown;unknown;telephone;jun;mon;221;0
53;technician;married;professional.course;yes;no;cellular;aug;thu;100;0
55;blue-collar;married;basic.4y;yes;yes;telephone;may;tue;266;0
59;entrepreneur;divorced;high.school;yes;no;telephone;may;fri;138;0
52;self-employed;married;basic.4y;no;yes;telephone;jun;thu;71;0
36;blue-collar;married;basic.9y;no;no;cellular;may;thu;115;0
56;services;divorced;high.school;yes;no;telephone;jun;mon;13;0
35;admin.;single;high.school;yes;yes;telephone;may;mon;19;0
30;admin.;single;university.degree;yes;yes;cellular;aug;tue;155;0
45;technician;single;professional.course;yes;yes;cellular;mar;thu;143;0
48;admin.;divorced;university.degree;yes;no;telephone;may;fri;224;0
36;admin.;single;university.degree;no;no;telephone;may;tue;168;0
40;blue-collar;single;basic.9y;yes;yes;telephone;may;wed;325;0
32;technician;divorced;professional.course;no;yes;cellular;aug;tue;75;0
60;entrepreneur;married;basic.4y;yes;no;telephone;may;thu;82;0
37;unemployed;married;basic.9y;yes;yes;cellular;may;fri;129;0
32;self-employed;single;university.degree;no;no;cellular;jul;thu;276;1
58;management;married;university.degree;yes;yes;cellular;may;fri;256;0
48;entrepreneur;married;basic.9y;yes;no;cellular;jul;wed;438;0
31;services;single;high.school;no;yes;cellular;may;thu;50;0
35;self-employed;single;high.school;yes;no;cellular;may;wed;207;0
41;blue-collar;married;basic.6y;no;no;cellular;apr;fri;412;0
42;blue-collar;married;unknown;no;yes;cellular;may;thu;428;0
55;blue-collar;divorced;basic.9y;yes;no;cellular;nov;thu;97;0
36;admin.;divorced;high.school;yes;no;telephone;may;mon;84;0
29;admin.;single;unknown;yes;no;cellular;mar;mon;132;1
34;entrepreneur;single;professional.course;no;no;telephone;jun;tue;76;0
55;retired;married;high.school;yes;no;cellular;oct;thu;424;1
27;blue-collar;single;basic.4y;no;no;cellular;may;tue;176;0
32;technician;married;professional.course;yes;no;cellular;may;mon;246;0
30;services;married;high.school;yes;yes;telephone;may;fri;114;0
39;blue-collar;married;basic.9y;no;no;telephone;may;thu;193;0
39;blue-collar;married;unknown;yes;no;cellular;jul;tue;82;0
39;entrepreneur;divorced;university.degree;yes;no;telephone;may;mon;219;0
48;admin.;single;university.degree;yes;no;cellular;aug;thu;44;0
33;admin.;single;high.school;no;no;telephone;may;tue;60;0
46;services;divorced;basic.4y;no;no;cellular;may;fri;493;0
51;admin.;single;university.degree;yes;yes;cellular;nov;fri;53;0
44;blue-collar;married;basic.4y;no;no;telephone;jun;thu;153;0
26;services;single;high.school;no;no;cellular;jul;mon;91;0
53;technician;married;professional.course;yes;yes;cellular;jul;fri;264;0
42;admin.;married;university.degree;yes;no;cellular;nov;mon;116;0
31;unemployed;single;professional.course;no;no;telephone;may;tue;20;0
32;admin.;single;university.degree;yes;no;telephone;jun;thu;186;0
31;admin.;single;basic.9y;no;no;cellular;jul;wed;1432;0
31;blue-collar;single;basic.4y;no;no;telephone;jun;thu;590;1
27;admin.;single;university.degree;yes;no;cellular;jun;fri;266;1
50;management;married;university.degree;no;no;telephone;sep;tue;84;0
31;services;married;high.school;yes;yes;telephone;jun;wed;146;0
39;blue-collar;married;basic.9y;yes;yes;telephone;may;tue;358;0
37;blue-collar;single;professional.course;no;no;cellular;aug;tue;109;0
58;retired;married;professional.course;no;no;cellular;aug;mon;244;0
32;entrepreneur;married;basic.9y;no;no;cellular;may;mon;184;0
43;blue-collar;single;basic.6y;yes;yes;cellular;jul;wed;1806;1
33;admin.;married;university.degree;yes;no;cellular;aug;mon;63;0
29;technician;single;professional.course;yes;yes;cellular;nov;wed;182;0
32;entrepreneur;divorced;university.degree;yes;yes;cellular;jul;fri;57;0
42;admin.;single;university.degree;no;no;cellular;aug;fri;353;0
32;technician;single;professional.course;yes;no;telephone;may;fri;247;0
29;technician;married;professional.course;no;no;cellular;jul;tue;294;0
32;admin.;single;professional.course;yes;yes;cellular;may;thu;1046;1
51;services;married;high.school;yes;no;cellular;aug;fri;241;0
47;admin.;single;university.degree;no;no;cellular;oct;mon;767;1
36;admin.;married;high.school;yes;no;cellular;may;tue;137;0
37;blue-collar;married;professional.course;no;no;telephone;may;tue;128;0
48;services;divorced;high.school;yes;yes;telephone;may;mon;158;0
50;management;married;university.degree;yes;no;telephone;may;wed;117;0
40;blue-collar;married;basic.6y;yes;no;telephone;may;tue;211;0
31;admin.;married;university.degree;no;yes;cellular;jul;mon;15;0
39;blue-collar;married;basic.6y;no;no;telephone;may;wed;488;0
38;admin.;married;high.school;yes;no;cellular;nov;tue;67;0
58;admin.;divorced;high.school;no;no;telephone;oct;thu;81;0
37;technician;married;professional.course;no;yes;cellular;jul;fri;674;1
34;services;married;high.school;no;no;telephone;jun;tue;51;0
35;technician;married;high.school;yes;no;cellular;jul;tue;740;1
39;entrepreneur;married;university.degree;yes;no;cellular;nov;thu;260;0
78;retired;married;basic.9y;yes;no;telephone;oct;thu;321;0
43;blue-collar;single;high.school;no;yes;telephone;may;thu;137;0
49;technician;divorced;university.degree;yes;no;telephone;nov;thu;30;0
32;technician;married;professional.course;no;no;telephone;may;wed;293;0
58;entrepreneur;married;university.degree;no;no;telephone;jun;fri;218;0
42;admin.;married;university.degree;yes;no;cellular;aug;wed;127;0
32;blue-collar;married;professional.course;no;no;telephone;may;thu;1119;1
31;technician;married;professional.course;yes;no;cellular;jul;wed;225;0
45;services;married;professional.course;yes;no;cellular;jul;mon;19;0
43;blue-collar;married;basic.9y;yes;no;cellular;may;fri;288;0
53;blue-collar;married;basic.4y;no;no;cellular;aug;tue;76;0
42;admin.;married;high.school;yes;yes;telephone;jul;mon;388;0
40;technician;married;professional.course;no;no;telephone;jun;fri;179;0
41;management;married;university.degree;yes;no;cellular;aug;thu;172;0
47;blue-collar;single;basic.9y;no;no;cellular;may;wed;159;0
53;admin.;married;university.degree;no;yes;telephone;may;tue;37;0
60;retired;married;university.degree;yes;no;cellular;oct;mon;338;0
32;technician;single;university.degree;no;no;cellular;nov;thu;485;0
67;retired;married;basic.4y;no;no;cellular;aug;mon;300;0
49;management;divorced;university.degree;no;no;cellular;jul;thu;144;0
31;admin.;unknown;high.school;no;no;telephone;may;mon;182;0
31;admin.;single;basic.9y;no;no;telephone;may;wed;80;0
60;admin.;married;high.school;yes;yes;cellular;apr;thu;482;1
33;blue-collar;married;high.school;no;no;cellular;apr;mon;87;0
41;self-employed;married;university.degree;yes;no;telephone;may;mon;796;0
45;services;married;professional.course;yes;no;telephone;may;mon;221;0
29;services;divorced;high.school;no;yes;telephone;may;mon;251;0
39;unemployed;married;university.degree;no;no;telephone;jun;tue;132;0
35;admin.;married;high.school;yes;yes;telephone;may;tue;236;0
33;technician;single;university.degree;yes;no;cellular;apr;thu;106;0
27;unemployed;single;university.degree;no;no;telephone;jul;tue;27;0
32;blue-collar;married;basic.9y;no;no;cellular;jul;thu;240;0
45;blue-collar;married;basic.9y;no;no;telephone;jun;thu;10;0
36;blue-collar;married;basic.9y;yes;no;telephone;may;thu;140;0
41;services;single;unknown;yes;no;cellular;may;thu;206;0
40;blue-collar;married;unknown;no;no;telephone;may;tue;337;0
42;management;married;university.degree;no;no;cellular;nov;mon;44;0
31;admin.;single;university.degree;yes;no;cellular;aug;wed;138;0
32;blue-collar;divorced;basic.9y;no;no;telephone;may;mon;287;0
32;technician;married;professional.course;no;no;cellular;aug;wed;67;0
27;blue-collar;married;high.school;no;no;cellular;may;thu;136;0
35;blue-collar;married;basic.4y;no;no;telephone;jun;thu;636;0
41;admin.;married;university.degree;yes;yes;telephone;may;mon;77;0
45;admin.;married;university.degree;no;yes;cellular;jul;thu;468;0
45;admin.;married;university.degree;no;no;cellular;jul;tue;114;0
44;admin.;married;high.school;no;no;cellular;aug;fri;262;0
51;technician;married;professional.course;no;no;cellular;aug;wed;221;0
50;unemployed;married;professional.course;no;no;cellular;jul;thu;74;0
41;blue-collar;married;basic.4y;no;no;cellular;nov;thu;604;0
29;admin.;married;basic.9y;yes;no;telephone;jun;thu;120;0
44;management;married;basic.9y;no;no;cellular;may;tue;296;0
30;blue-collar;married;professional.course;no;no;cellular;may;fri;1357;1
39;housemaid;married;basic.4y;yes;yes;cellular;aug;fri;123;0
39;management;married;university.degree;yes;no;telephone;jun;fri;23;0
50;blue-collar;married;basic.4y;no;no;telephone;jun;tue;209;0
43;blue-collar;married;basic.9y;unknown;unknown;telephone;jun;fri;37;0
36;blue-collar;married;unknown;no;no;telephone;may;tue;257;0
80;retired;divorced;high.school;yes;no;cellular;oct;thu;169;1
36;admin.;married;high.school;yes;no;telephone;may;wed;61;0
29;blue-collar;married;basic.9y;yes;no;cellular;jul;mon;104;0
48;blue-collar;married;basic.6y;yes;no;cellular;jul;mon;122;0
51;admin.;married;high.school;no;no;cellular;may;tue;40;0
30;admin.;single;high.school;no;no;cellular;sep;fri;219;1
24;technician;single;professional.course;unknown;unknown;cellular;may;wed;311;1
47;admin.;divorced;high.school;no;no;cellular;aug;tue;204;0
36;blue-collar;married;basic.9y;no;no;telephone;jul;thu;414;0
37;admin.;married;high.school;yes;no;telephone;may;wed;191;0
31;blue-collar;married;basic.9y;yes;no;cellular;may;mon;475;1
34;entrepreneur;married;university.degree;yes;no;cellular;aug;mon;343;0
69;retired;married;basic.4y;no;no;cellular;sep;mon;258;0
42;admin.;married;university.degree;no;no;cellular;nov;mon;226;0
34;blue-collar;married;basic.6y;no;no;cellular;jul;wed;727;1
48;blue-collar;married;basic.9y;yes;no;cellular;may;fri;36;0
41;blue-collar;married;basic.6y;yes;yes;telephone;may;tue;207;0
59;blue-collar;married;basic.4y;no;no;cellular;aug;wed;413;0
50;admin.;married;high.school;yes;no;telephone;nov;fri;182;0
36;admin.;married;high.school;yes;yes;cellular;may;mon;142;0
61;admin.;married;university.degree;yes;yes;cellular;apr;thu;266;1
69;retired;divorced;university.degree;yes;no;cellular;apr;tue;207;1
28;student;single;basic.9y;yes;no;cellular;mar;tue;320;1
58;admin.;married;university.degree;no;no;cellular;sep;thu;272;1
37;admin.;married;university.degree;no;no;telephone;jul;mon;1009;1
30;student;single;high.school;no;no;cellular;mar;fri;268;1
25;technician;single;professional.course;yes;no;cellular;nov;fri;712;1
26;unemployed;single;university.degree;yes;no;cellular;aug;thu;203;1
26;blue-collar;married;basic.9y;no;no;telephone;jun;mon;230;1
44;services;divorced;basic.6y;yes;no;cellular;aug;wed;153;1
43;admin.;single;high.school;no;no;cellular;nov;wed;1011;1
53;blue-collar;married;basic.4y;yes;no;telephone;aug;tue;1186;1
54;housemaid;divorced;university.degree;yes;yes;cellular;nov;thu;653;1
31;admin.;married;high.school;no;yes;cellular;aug;mon;155;1
26;management;single;university.degree;no;no;cellular;mar;thu;139;1
33;technician;single;professional.course;yes;no;cellular;may;wed;519;1
30;admin.;single;professional.course;unknown;unknown;cellular;jun;thu;246;1
31;management;single;university.degree;yes;no;cellular;nov;wed;424;1
48;unemployed;married;professional.course;no;no;telephone;may;wed;360;1
25;student;single;unknown;no;no;cellular;jun;mon;301;1
30;technician;married;university.degree;yes;no;telephone;may;tue;683;1
32;technician;married;professional.course;no;no;cellular;apr;mon;688;1
33;admin.;single;professional.course;yes;no;cellular;may;mon;1340;1
80;retired;married;basic.4y;no;no;cellular;mar;fri;213;1
38;admin.;single;high.school;yes;no;cellular;apr;thu;882;1
45;management;married;unknown;yes;no;cellular;apr;tue;379;1
44;management;married;university.degree;no;no;cellular;aug;tue;175;1
43;admin.;married;university.degree;yes;no;cellular;aug;tue;1332;1
42;admin.;married;university.degree;yes;no;cellular;aug;tue;1311;1
50;blue-collar;married;basic.9y;yes;no;cellular;apr;thu;1365;1
49;blue-collar;married;basic.6y;yes;no;telephone;may;fri;1980;1
44;services;divorced;high.school;yes;yes;cellular;apr;tue;895;1
34;technician;divorced;professional.course;yes;no;cellular;may;fri;1190;1
30;admin.;married;university.degree;yes;yes;cellular;may;mon;742;1
27;technician;single;high.school;yes;no;cellular;jul;fri;784;1
35;self-employed;married;university.degree;yes;no;cellular;jun;thu;269;1
63;management;married;basic.4y;yes;no;cellular;nov;tue;131;1
52;admin.;married;university.degree;no;no;cellular;may;thu;195;1
28;student;single;basic.9y;yes;no;cellular;mar;tue;156;1
38;blue-collar;single;high.school;no;no;telephone;mar;tue;450;1
33;self-employed;single;university.degree;yes;no;cellular;mar;mon;265;1
58;retired;divorced;university.degree;yes;no;cellular;apr;wed;129;1
30;services;single;high.school;yes;no;cellular;aug;thu;148;1
25;student;single;high.school;no;no;cellular;jun;mon;485;1
41;housemaid;married;high.school;yes;no;telephone;nov;fri;1074;1
53;blue-collar;single;basic.9y;unknown;unknown;cellular;mar;thu;362;1
34;admin.;married;university.degree;no;no;cellular;oct;fri;281;1
43;admin.;married;high.school;no;no;telephone;jun;fri;1422;1
37;management;married;unknown;no;no;cellular;dec;wed;149;1
32;admin.;married;university.degree;yes;no;cellular;jun;tue;712;1
41;self-employed;married;basic.9y;yes;no;cellular;may;thu;1135;1
51;technician;single;university.degree;no;no;cellular;jun;fri;657;1
52;management;married;university.degree;no;no;cellular;aug;tue;600;1
40;unemployed;married;professional.course;no;yes;telephone;sep;fri;91;1
38;technician;married;professional.course;yes;no;cellular;mar;fri;363;1
66;retired;married;professional.course;no;yes;cellular;mar;tue;525;1
50;technician;married;professional.course;yes;yes;telephone;jun;fri;705;1
82;housemaid;divorced;basic.4y;no;no;cellular;jul;wed;316;1
55;unknown;married;basic.4y;yes;no;cellular;jul;thu;1298;1
28;technician;single;professional.course;yes;no;cellular;aug;thu;78;1
37;admin.;married;university.degree;no;yes;cellular;dec;mon;206;1
26;admin.;single;university.degree;no;no;telephone;aug;mon;1087;1
39;services;single;high.school;yes;no;cellular;aug;fri;308;1
37;admin.;single;university.degree;no;no;cellular;oct;fri;416;1
52;management;married;high.school;no;no;cellular;aug;tue;408;1
68;retired;divorced;professional.course;yes;no;cellular;oct;tue;418;1
36;admin.;married;university.degree;yes;no;cellular;may;tue;196;1
57;technician;married;high.school;no;no;cellular;aug;fri;784;1
33;management;married;professional.course;no;no;cellular;may;thu;578;1
48;admin.;divorced;basic.9y;no;no;cellular;jul;tue;1424;1
54;blue-collar;married;basic.9y;no;no;cellular;jun;fri;258;1
30;technician;single;university.degree;no;no;cellular;sep;thu;327;1
28;technician;single;university.degree;yes;no;cellular;mar;mon;120;1
38;services;single;high.school;no;no;cellular;sep;fri;256;1
52;technician;married;university.degree;no;no;cellular;may;thu;211;1
60;retired;married;high.school;no;no;cellular;may;thu;181;1
64;retired;married;unknown;no;no;cellular;aug;fri;252;1
59;admin.;married;high.school;yes;no;cellular;aug;wed;1019;1
31;services;married;basic.9y;yes;no;cellular;jul;wed;537;1
32;self-employed;single;university.degree;yes;no;cellular;dec;mon;205;1
36;admin.;married;university.degree;no;no;cellular;jun;mon;174;1
40;admin.;married;university.degree;no;no;cellular;apr;thu;815;1
31;technician;married;professional.course;yes;no;telephone;jun;tue;208;1
49;self-employed;married;high.school;no;no;cellular;may;fri;532;1
53;technician;single;professional.course;yes;no;cellular;nov;wed;1468;1
33;services;married;high.school;yes;no;cellular;jun;wed;274;1
33;admin.;single;university.degree;no;no;cellular;mar;tue;406;1
45;admin.;single;university.degree;no;no;cellular;may;fri;582;1
49;housemaid;married;basic.4y;no;yes;telephone;may;wed;801;1
52;technician;married;professional.course;yes;no;cellular;nov;fri;495;1
32;services;single;high.school;yes;yes;cellular;aug;wed;253;1
41;admin.;married;university.degree;no;no;cellular;apr;tue;463;1
50;self-employed;married;basic.9y;yes;yes;cellular;may;mon;673;1
32;admin.;married;university.degree;yes;yes;cellular;jun;tue;384;1
33;services;married;professional.course;yes;yes;cellular;jul;thu;630;1
25;student;single;university.degree;no;no;cellular;aug;thu;184;1
71;housemaid;married;basic.4y;yes;no;cellular;nov;tue;193;1
27;admin.;single;university.degree;yes;no;cellular;apr;fri;156;1
45;admin.;divorced;high.school;yes;no;cellular;nov;fri;980;1
29;unemployed;married;basic.4y;no;no;telephone;dec;thu;805;1
26;student;single;professional.course;yes;no;cellular;aug;tue;176;1
54;unemployed;married;high.school;yes;no;cellular;dec;wed;346;1
28;admin.;single;high.school;no;no;cellular;jun;mon;491;1
39;management;married;university.degree;yes;no;cellular;sep;thu;291;1
43;blue-collar;married;basic.6y;yes;no;cellular;jun;mon;458;1
33;admin.;single;university.degree;yes;no;cellular;oct;fri;233;1
66;retired;married;high.school;unknown;unknown;cellular;mar;tue;881;1
57;technician;married;professional.course;yes;no;telephone;may;mon;483;1
74;retired;married;university.degree;yes;yes;cellular;aug;wed;232;1
81;retired;married;basic.4y;yes;no;cellular;oct;wed;621;1
60;admin.;married;university.degree;yes;no;cellular;may;mon;1602;1
47;management;married;university.degree;yes;no;cellular;sep;mon;323;1
25;admin.;single;university.degree;yes;yes;cellular;oct;fri;115;1
47;housemaid;married;basic.4y;yes;no;telephone;jul;tue;159;0
45;entrepreneur;divorced;basic.9y;yes;no;cellular;may;tue;29;0
36;admin.;married;university.degree;yes;no;cellular;aug;wed;155;0
32;admin.;married;university.degree;yes;no;telephone;may;thu;151;0
63;retired;married;high.school;no;no;cellular;oct;wed;1386;0
53;housemaid;divorced;basic.6y;unknown;unknown;telephone;may;fri;85;0
30;technician;married;university.degree;no;yes;cellular;jun;fri;131;0
31;technician;single;professional.course;yes;no;cellular;nov;thu;155;0
31;admin.;single;university.degree;yes;no;cellular;nov;thu;463;0
30;admin.;married;basic.6y;yes;yes;cellular;jul;thu;53;0
39;admin.;married;high.school;yes;no;telephone;jul;fri;219;0
27;student;single;high.school;no;no;cellular;may;mon;64;0
58;admin.;married;high.school;no;no;cellular;aug;fri;528;0
34;management;single;high.school;yes;no;cellular;nov;wed;175;0
