Class;_RMSenergy_Mean;_Lowenergy_Mean;_Fluctuation_Mean;_Tempo_Mean;_MFCC_Mean_1;_MFCC_Mean_2;_MFCC_Mean_3;_MFCC_Mean_4;_MFCC_Mean_5;_MFCC_Mean_6;_MFCC_Mean_7;_MFCC_Mean_8;_MFCC_Mean_9;_MFCC_Mean_10;_MFCC_Mean_11;_MFCC_Mean_12;_MFCC_Mean_13;_Roughness_Mean;_Roughness_Slope;_Zero-crossingrate_Mean;_AttackTime_Mean;_AttackTime_Slope;_Rolloff_Mean;_Eventdensity_Mean;_Pulseclarity_Mean;_Brightness_Mean;_Spectralcentroid_Mean;_Spectralspread_Mean;_Spectralskewness_Mean;_Spectralkurtosis_Mean;_Spectralflatness_Mean;_EntropyofSpectrum_Mean;_Chromagram_Mean_1;_Chromagram_Mean_2;_Chromagram_Mean_3;_Chromagram_Mean_4;_Chromagram_Mean_5;_Chromagram_Mean_6;_Chromagram_Mean_7;_Chromagram_Mean_8;_Chromagram_Mean_9;_Chromagram_Mean_10;_Chromagram_Mean_11;_Chromagram_Mean_12;_HarmonicChangeDetectionFunction_Mean;_HarmonicChangeDetectionFunction_Std;_HarmonicChangeDetectionFunction_Slope;_HarmonicChangeDetectionFunction_PeriodFreq;_HarmonicChangeDetectionFunction_PeriodAmp;_HarmonicChangeDetectionFunction_PeriodEntropy
relax;0.167;0.63;8.212;54.967;2.97;1.294;0.585;0.262;0.133;-0.274;0.138;-0.123;0.031;-0.203;-0.106;-0.132;-0.127;328.878;0.006;404.711;0.03;-0.171;4707.654;2.138;0.316;0.256;1832.474;3103.082;2.098;6.486;0.034;0.824;0.18;0.013;0.654;0.146;0;0.003;0.001;1;0.504;0.619;0.446;0.001;0.391;0.237;-0.058;2.243;0.737;0.969
relax;0.026;0.64;7.711;68.736;4.958;-0.007;0.998;0.58;0.084;0.052;-0.02;-0.098;0.165;0.51;0.097;-0.008;0.536;2.772;0.018;391.616;0.061;0.362;1111.441;0.495;0.011;0.106;812.473;1645.67;5.533;39.669;0.027;0.74;0.32;0.093;0;0.467;0;0;0;0.102;0.002;0;0.002;1;0.212;0.327;0.069;0.561;0.637;0.952
relax;0.169;0.566;6.666;88.031;3.039;0.708;0.432;0.524;0.579;0.012;-0.253;0.013;-0.331;-0.101;-0.262;-0.339;0.106;468.716;-0.045;398.533;0.028;0.158;3930.714;2.138;0.572;0.257;1750.272;2864.863;2.277;7.578;0.029;0.813;0.007;0;0.014;0;0.431;0.005;0.01;0.245;0.774;1;0.02;0.354;0.278;0.197;-0.02;3.364;0.705;0.963
relax;0.244;0.532;6.237;121.142;2.548;-0.51;0.764;-0.043;0.09;-0.29;0.053;0.252;-0.26;0.131;0.213;0.136;-0.286;1084.9;-0.01;766.813;0.024;-0.006;8331.394;2.071;0.12;0.486;3049.19;3750.096;1.443;3.886;0.055;0.888;0.885;0;0.319;0;0.782;0.007;0.765;0.052;0.001;0.23;0.001;1;0.312;0.229;-0.032;0.286;0.629;0.961
relax;0.06;0.55;8.114;153.513;2.996;0.866;0.333;0.166;0.049;-0.143;0.078;0.239;0.101;-0.096;-0.069;0.065;0.032;72.273;0.148;628.296;0.041;-0.238;6841.187;1.771;0.124;0.385;2601.517;3373.908;1.489;4.093;0.051;0.873;1;0.423;0.354;0.021;0.573;0.174;0.557;0.398;0.003;0.036;0.333;0.908;0.309;0.235;0.037;0.748;0.652;0.97
relax;0.138;0.578;6.464;59.927;2.827;0.391;0.187;0.127;0.091;0.012;0.311;0.085;0.262;-0.058;0.043;0.022;-0.059;290.716;0.108;309.935;0.033;-0.279;4994.694;0.668;0.058;0.282;2039.245;3467.688;2.095;6.466;0.053;0.824;0.448;0.011;0.13;0;1;0;0.047;0.102;0.018;0.862;0;0.647;0.269;0.263;-0.039;0.498;0.748;0.964
relax;0.138;0.578;6.464;59.927;2.827;0.391;0.187;0.127;0.091;0.012;0.311;0.085;0.262;-0.058;0.043;0.022;-0.059;290.716;0.108;309.935;0.033;-0.279;4994.694;0.668;0.058;0.282;2039.245;3467.688;2.095;6.466;0.053;0.824;0.448;0.011;0.13;0;1;0;0.047;0.102;0.018;0.862;0;0.647;0.269;0.263;-0.039;0.498;0.748;0.964
relax;0.114;0.558;9.05;165.005;1.823;0.294;0.62;0.134;0.124;-0.257;-0.101;0.085;0.207;0.043;-0.166;0.124;0.168;369.295;0.273;1092.833;0.026;-0.135;6864.508;2.673;0.139;0.585;3215.549;3197.811;1.263;4;0.049;0.911;0.068;0.017;0.452;0.008;0.241;0.004;0.477;0.455;0.264;1;0.242;0.695;0.394;0.21;0.103;1.223;0.792;0.964
relax;0.186;0.559;7.668;115.097;2.5;1.46;0.714;0.061;0.502;0.068;-0.296;-0.142;0.104;-0.417;0.122;-0.142;-0.014;658.714;0.127;640.584;0.024;-0.024;6526.558;2.172;0.181;0.371;2576.772;3512.589;1.583;4.628;0.055;0.868;0.744;0.084;0.514;0.007;0.655;0.043;0.122;0.086;0.001;0.135;0.176;1;0.357;0.209;0.059;2.243;0.76;0.969
relax;0.133;0.486;9.919;112.281;1.898;0.682;0.7;0.675;0.339;0.105;0.077;0.225;0.103;0.018;0.112;0.176;0.011;501.195;0.315;896.754;0.023;-0.233;9418.968;3.207;0.186;0.523;3847.703;4276.091;0.911;2.531;0.061;0.895;0;0.17;0.374;0.008;0.202;0.061;0.01;0.576;0.361;1;0.145;0.009;0.386;0.207;-0.024;1.346;0.781;0.97
relax;0.204;0.494;9.673;165.821;2.285;0.56;0.977;-0.002;0.137;-0.002;0.101;-0.005;-0.066;-0.066;0.022;0.141;0.084;900.87;0.155;712.831;0.024;0.083;9059.696;2.172;0.102;0.516;3517.297;3988.555;1.12;3.034;0.067;0.904;0.468;0.003;0.016;0.011;0.149;0.079;0.03;0.145;0.091;1;0.032;0.67;0.369;0.21;-0.017;2.243;0.742;0.969
relax;0.06;0.512;8.525;135.834;2.419;0.722;0.805;0.563;0.607;0.225;0.16;0.106;-0.057;-0.144;0.002;-0.182;-0.016;93.563;0.072;555.183;0.019;-0.082;8284.143;3.542;0.269;0.405;3008.676;4089.314;1.413;3.733;0.071;0.869;0.138;0.001;0.289;0.001;0.347;0.001;0.39;0.601;0.298;1;0.304;0.501;0.392;0.191;0.006;1.682;0.801;0.97
relax;0.041;0.541;6.149;109.215;2.961;0.9;0.169;0.417;0.178;0.179;0.393;0.079;-0.13;-0.285;-0.148;0.132;0.246;34.631;0.515;640.817;0.039;-0.275;5688.908;2.105;0.135;0.332;2193.327;3039.256;1.766;5.365;0.05;0.854;0.492;0;0.247;0;0.286;0.159;0;0.016;0.066;1;0.046;0.57;0.35;0.254;0.02;0.897;0.691;0.967
relax;0.142;0.545;6.69;133.558;2.352;-0.307;0.326;0.148;0.33;0.199;-0.025;-0.125;-0.006;-0.022;0.102;0.047;0.097;609.163;0.092;1109.467;0.024;0.216;5160.209;3.074;0.136;0.452;2379.31;2709.326;1.607;4.851;0.016;0.882;0.762;0.157;0.856;0.381;0.029;0.303;0.048;0.57;0.136;0.894;1;0.075;0.384;0.212;-0.047;0.792;0.769;0.967
relax;0.152;0.489;6.892;102.213;3.942;0.563;0.5;-0.035;0.448;0.05;0.076;-0.008;-0.15;0.044;0.058;0.021;0.117;668.923;0.251;417.515;0.027;-0.062;1771.022;1.804;0.198;0.172;1096.428;1731.614;3.086;13.792;0.014;0.794;0;0.312;0;0;0.958;0;0.471;0;0.19;1;0.002;0.442;0.346;0.261;0.069;0.345;0.741;0.965
relax;0.081;0.562;7.025;167.535;2.854;1.02;0.868;0.369;0.345;0.072;0.019;0.093;0.104;0.2;0.018;0.085;0.266;120.26;0.073;307.188;0.027;0.249;4547.354;2.138;0.17;0.28;1772.693;2724.269;1.924;5.866;0.034;0.824;1;0;0;0;0.412;0.372;0;0.213;0;0.008;0;0.003;0.307;0.215;-0.073;1.922;0.688;0.972
relax;0.08;0.558;6.424;129.39;3.653;0.138;0.457;-0.629;-0.29;-0.259;-0.089;0.297;0.453;0.346;0.146;0.127;0.079;126.695;0.249;538.266;0.066;-0.273;2359.211;0.368;0.197;0.211;1342.894;2226.682;3.33;15.467;0.032;0.796;0.213;0;0.85;0;0.089;0.361;0;0.254;0;1;0.324;0;0.295;0.246;-0.097;2.243;0.661;0.965
relax;0.077;0.605;9.572;123.1;2.496;-0.45;0.079;0.578;0.379;0.347;0.026;-0.005;0.277;0.182;0.013;0.14;-0.106;95.713;0.296;1064.06;0.037;-0.093;7612.765;1.169;0.185;0.468;3124.771;3796.317;1.502;4.124;0.069;0.894;0.084;0.024;0.686;0.022;0.238;0.394;0.041;0.254;0.257;1;0.129;0.082;0.356;0.258;0.165;1.922;0.666;0.961
relax;0.278;0.568;7.245;125.846;2.532;0.675;0.805;0.262;0.484;0.253;0.136;0.007;0.123;0.157;-0.027;-0.08;-0.069;2164.934;0.279;610.746;0.028;-0.219;8234.032;1.504;0.076;0.423;2956.572;3691.805;1.227;3.265;0.086;0.867;0.003;0.737;0.399;0.003;0.541;0.016;0.703;0.01;0.652;1;0.029;0.236;0.365;0.292;-0.132;2.243;0.682;0.969
relax;0.054;0.531;8.957;167.598;2.505;0.739;0.744;0.176;0.441;0.359;0.282;0.228;0.189;0.214;0.054;0.151;0.069;74.391;-0.075;322.673;0.075;0.063;5305.138;1.437;0.226;0.315;2125.666;3344.06;1.945;5.989;0.064;0.836;0.437;0;0.508;0.133;1;0.051;0.163;0.769;0.4;0.795;0.015;0.453;0.319;0.185;0.071;1.682;0.746;0.971
relax;0.031;0.64;6.341;109.36;1.726;0.468;0.631;0.487;0.514;0.489;0.073;0.197;-0.054;0.203;0.159;0.045;0.196;24.192;0.476;1055.169;0.023;-0.292;8154.334;0.702;0.218;0.516;3426.558;3840.034;1.057;3.018;0.086;0.884;0;0.284;0;0.498;0;0.001;0.721;0.01;0.618;0;0.234;1;0.271;0.249;0.049;0.464;0.654;0.975
relax;0.055;0.676;6.988;144.101;3.204;0.462;1.059;0.257;0.399;0.491;0.385;0.152;0.03;-0.01;-0.144;0.038;0.075;31.84;0.18;459.308;0.068;-0.094;2609.934;0.401;0.04;0.224;1305.642;2266.812;3.018;13.331;0.041;0.795;0.034;0.026;0.025;0;0.011;0.63;0.024;1;0.031;0.389;0.003;0.252;0.259;0.237;0.326;0.792;0.654;0.939
relax;0.084;0.56;8.45;52.81;3.017;0.482;0.686;-0.083;0.368;0.512;-0.01;-0.005;0.012;0.017;0.244;-0.009;0.127;126.163;-0.012;374.273;0.051;0.017;3192.213;0.802;0.09;0.261;1487.222;2297.467;2.656;11.158;0.036;0.838;0.012;0.049;0.225;0.217;1;0.175;0.798;0.218;0.024;0.328;0.347;0.726;0.363;0.23;0.026;0.434;0.736;0.964
relax;0.066;0.555;7.844;101.544;2.889;0.507;0.937;0.279;0.346;0.387;0.044;0.143;-0.22;0.189;-0.053;-0.066;0.213;89.59;-0.017;326.436;0.024;-0.117;3706.192;1.938;0.167;0.298;1767.949;2741.962;2.369;8.731;0.049;0.833;0.566;0;0.61;0.029;0.752;0.326;0.635;0.837;0.011;0.477;0.088;1;0.357;0.217;0.008;1.035;0.767;0.963
relax;0.101;0.526;5.742;98.662;4.46;0.396;0.065;-0.668;-0.277;-0.062;0.343;0.468;0.126;-0.111;0.029;0.188;0.317;225.903;-0.214;469.648;0.036;0.2;1511.236;1.403;0.178;0.151;1304.497;2468.267;3.599;16.253;0.041;0.804;0.532;0.003;0.014;0;0.564;0;0.269;0.295;0.047;1;0.001;0.739;0.28;0.212;-0.091;0.384;0.677;0.962
relax;0.133;0.522;6.745;113.234;2.58;-0.462;0.566;0.165;0.321;0.111;-0.1;-0.131;0.039;-0.131;0.059;-0.011;0.067;406.58;0.291;1012.693;0.023;0.011;3546.691;4.377;0.322;0.416;1897.399;2097.003;2.087;7.947;0.014;0.869;1;0.154;0.199;0.012;0.195;0.533;0.085;0.065;0.003;0.263;0.014;0.366;0.318;0.177;-0.069;0.748;0.733;0.968
relax;0.063;0.662;6.718;87.795;2.121;0.407;0.627;-0.182;0.191;0.01;0.019;0.362;-0.083;-0.074;0.17;0.256;0.095;93.376;0.01;1016.24;0.055;-0.119;8384.491;1.236;0.074;0.551;3496.356;3792.189;1.219;3.504;0.074;0.911;0.089;0.478;0.009;0.304;0.123;0.774;0.962;0.145;0.951;0.84;1;0.138;0.321;0.226;0.093;1.922;0.723;0.957
relax;0.101;0.536;17.573;93.378;1.889;0.725;0.977;0.223;0.196;-0.091;0.276;-0.111;-0.074;-0.083;0.044;0.033;-0.01;239.939;0.348;853.047;0.086;-0.313;7717.992;1.37;0.236;0.512;3110.529;3416.286;1.032;2.826;0.029;0.894;0.843;0.621;0.075;0.538;0.133;0.264;0.099;0.926;1;0.239;0.572;0.222;0.366;0.237;0.144;0.561;0.722;0.967
relax;0.033;0.614;6.758;121.423;3.603;0.392;-0.038;0.482;-0.224;-0.022;-0.076;0.264;0.041;0.269;-0.487;-0.286;-0.62;12.209;0.135;550.321;0.038;0.082;8011.55;0.301;0.36;0.392;3006.718;3655.289;1.233;3.446;0.075;0.844;0.186;0;0.386;0;1;0;0.955;0.58;0;0;0;0.211;0.265;0.244;0.076;0.313;0.548;0.966
relax;0.077;0.639;9.551;83.795;2.879;-0.211;0.603;-0.019;0.183;0.049;-0.345;0.155;0.277;0.137;0.046;-0.171;0.066;67.721;0.162;561.71;0.086;0;7275.531;0.768;0.117;0.418;2778.048;3579.698;1.687;4.918;0.065;0.875;0;0;0.282;0;0.082;0.164;0.03;0.295;0.053;0.892;1;0.004;0.276;0.249;0.127;2.243;0.645;0.964
relax;0.204;0.547;6.579;134.213;3.046;-0.494;0.242;-0.181;0.151;-0.12;-0.04;-0.179;-0.052;-0.005;-0.047;0.251;0.097;818.987;0.084;936.266;0.044;-0.163;3606.139;2.372;0.118;0.375;1949.302;2359.855;2.494;9.937;0.03;0.868;0.011;0.283;0.249;0;0.507;0.186;0.014;0.003;0.003;1;0.142;0.054;0.342;0.21;0.018;0.498;0.725;0.967
relax;0.06;0.549;8.454;159.879;3.081;0.809;0.356;0.178;0.062;-0.147;0.067;0.255;0.083;-0.101;-0.073;0.057;0.013;72.538;0.166;631.464;0.042;-0.248;6408.82;1.719;0.13;0.366;2444.364;3264.925;1.609;4.529;0.049;0.867;1;0.318;0.298;0.018;0.595;0.184;0.576;0.412;0.003;0.034;0.311;0.873;0.313;0.249;0.007;0.374;0.62;0.971
relax;0.135;0.473;10.157;112.205;1.832;0.76;0.691;0.669;0.358;0.101;0.076;0.232;0.11;0.022;0.114;0.184;0.018;518.699;0.285;888.133;0.021;-0.205;9438.188;3.179;0.189;0.532;3924.144;4273.728;0.863;2.451;0.06;0.897;0;0.163;0.364;0.01;0.216;0.089;0.01;0.613;0.387;1;0.141;0.009;0.38;0.206;-0.007;1.346;0.785;0.969
relax;0.079;0.552;6.343;129.334;3.668;0.114;0.463;-0.641;-0.279;-0.258;-0.082;0.3;0.462;0.356;0.158;0.131;0.083;123.462;0.229;530.973;0.07;-0.267;2342.03;0.334;0.201;0.205;1295.111;2139.829;3.451;16.699;0.03;0.794;0.196;0;0.834;0;0.09;0.352;0;0.241;0;1;0.289;0;0.295;0.252;-0.102;3.364;0.667;0.964
relax;0.15;0.567;7.828;52.932;2.611;0.73;0.494;-0.188;0.047;0.142;-0.199;0.153;-0.139;-0.191;-0.262;-0.104;-0.064;440.663;0.217;767.329;0.027;0.061;8965.109;1.671;0.122;0.458;3505.22;4186.878;1.14;3.035;0.074;0.895;0.001;0.264;0.145;0.044;0.358;0.055;0.626;0.268;0.148;0.355;0.138;1;0.302;0.239;0.1;3.364;0.706;0.959
relax;0.183;0.557;8.738;108.364;3.288;0.174;0.213;0.199;0.111;-0.194;-0.029;-0.076;-0.132;-0.139;-0.028;0.015;0.159;733.194;0.238;598.957;0.018;0.048;3149.883;2.907;0.25;0.284;1545.268;2131.618;2.402;8.985;0.02;0.853;0.647;0.088;0.664;0.334;0.048;0.53;0.175;1;0.733;0.251;0.893;0.188;0.397;0.205;-0.027;3.364;0.788;0.967
relax;0.081;0.557;6.363;166.411;2.39;0.496;0.205;0.025;-0.013;-0.023;-0.025;-0.08;0.056;0.094;0.205;0.055;0.049;169.803;0.52;1244.454;0.035;-0.217;8254.24;2.439;0.217;0.5;3448.652;3867.469;1.169;3.193;0.06;0.905;0.355;0.016;0.435;0.06;0.87;0.069;0.341;0.117;0.011;0.226;0.069;1;0.32;0.182;-0.095;0.897;0.771;0.963
relax;0.236;0.549;6.706;106.013;2.806;0.512;0.356;0.036;0.422;0.041;0.165;0.129;0.112;0.088;0.083;0.084;0.193;1009.165;0.344;594.395;0.025;-0.062;4263.574;2.773;0.139;0.321;1833.482;2457.288;1.895;6.124;0.024;0.852;0.185;0.328;0.07;0.468;0.058;0.018;0.245;0.009;0.937;0.728;0.977;1;0.364;0.214;-0.044;2.243;0.757;0.968
relax;0.146;0.505;7.078;151.635;3.461;-0.116;0.252;-0.087;0.567;0.131;0.116;0.121;-0.351;0.142;-0.034;0.065;-0.181;408.91;-0.128;690.736;0.029;0.197;7303.352;1.737;0.191;0.336;2600.422;3789.767;1.789;5.078;0.052;0.863;0;0.813;0.651;0.001;0.822;0;0.4;0.007;0.704;1;0;0.915;0.333;0.217;0.106;1.223;0.677;0.971
happy;0.196;0.53;7.854;135.699;2.444;-0.002;0.259;0.123;0.145;0.054;0.018;0.017;-0.074;-0.026;0.083;-0.119;-0.022;687.145;0.007;1293.989;0.02;-0.156;8751.922;4.009;0.45;0.484;3419.904;4122.71;1.318;3.521;0.082;0.906;1;0.409;0.951;0.281;0.439;0.378;0.156;0.673;0.184;0.807;0.699;0.383;0.339;0.172;-0.212;0.841;0.833;0.965
happy;0.196;0.53;7.854;135.699;2.444;-0.002;0.259;0.123;0.145;0.054;0.018;0.017;-0.074;-0.026;0.083;-0.119;-0.022;687.145;0.007;1293.989;0.02;-0.156;8751.922;4.009;0.45;0.484;3419.904;4122.71;1.318;3.521;0.082;0.906;1;0.409;0.951;0.281;0.439;0.378;0.156;0.673;0.184;0.807;0.699;0.383;0.339;0.172;-0.212;0.841;0.833;0.965
happy;0.115;0.549;8.757;107.555;1.935;-0.288;1.134;0.153;0.119;0.02;0.059;0.127;-0.012;0.121;0.158;0.139;0.058;369.749;0.095;1149.428;0.022;-0.092;4054.404;4.444;0.404;0.496;2099.128;2284.61;1.699;6.169;0.025;0.882;0.42;0.28;0.442;1;0.629;0.883;0.281;0.544;0.538;0.465;0.44;0.614;0.436;0.186;0.06;1.922;0.842;0.966
happy;0.284;0.621;8.827;98.011;1.494;0.45;0.202;0.201;0.251;-0.044;0.014;0.037;-0.006;0.125;0.23;0.107;0.114;1421.176;-0.052;2129.236;0.02;0.136;11508.298;3.809;0.746;0.668;5326.379;4708.171;0.505;1.93;0.176;0.932;0.392;0.129;0.27;0.06;0.203;0.084;0.02;0.132;0.326;1;0.332;0.142;0.31;0.147;0.153;3.364;0.838;0.969
happy;0.133;0.534;7.576;164.25;1.137;-0.152;0.631;-0.361;0.442;-0.086;-0.041;0.291;-0.147;0.029;0.037;-0.03;0.009;767.316;0.05;2149.15;0.029;0.058;5761.33;3.174;0.462;0.67;3166.474;2719.708;1.341;4.852;0.036;0.91;0.603;0.068;0.038;0.129;0.338;1;0.839;0.21;0.186;0.331;0.083;0.875;0.378;0.201;-0.022;1.682;0.812;0.965
happy;0.215;0.573;6.649;130.331;2.316;0.065;0.48;0;0.141;0.068;-0.006;-0.051;0.026;0.137;0.041;0.072;0.031;1041.674;0.236;1197.582;0.031;0.038;6381.083;3.742;0.436;0.47;2760.396;3205.971;1.449;4.127;0.037;0.893;0.633;0.537;0.259;0.496;1;0.786;0.112;0.26;0.365;0.212;0.293;0.233;0.346;0.17;-0.14;1.121;0.824;0.97
happy;0.168;0.604;7.628;192.277;1.894;0.215;0.269;0.089;0.1;0.019;-0.001;0.088;0.135;0.206;0.066;-0.077;-0.004;459.201;0.32;1584.477;0.025;0.049;8340.983;2.005;0.602;0.53;3493.217;3815.17;1.083;3.029;0.082;0.91;0.257;0.061;0.359;0.166;0.458;0.348;0.138;0.319;0.501;1;0.19;0.132;0.378;0.177;-0.04;1.495;0.803;0.972
happy;0.079;0.533;5.374;102.022;1.509;-0.439;0.612;-0.55;0.156;-0.068;0.082;-0.152;-0.001;0.203;0.096;0.031;0.047;371.021;0.041;1958.833;0.023;0.01;4198.028;4.744;0.414;0.575;2361.071;2001.519;1.309;5.334;0.015;0.892;0.7;0.615;1;0.372;0.593;0.259;0.135;0.307;0.334;0.9;0.581;0.467;0.319;0.143;0.11;0.897;0.821;0.967
happy;0.239;0.497;8.529;105.939;1.795;0.411;0.117;-0.137;0.225;-0.356;0.113;0.016;-0.05;0.111;0.023;0.209;0.033;1998.171;0.135;1570.523;0.024;0.078;8089.503;3.809;0.429;0.587;3750.208;3712.744;1.084;3.474;0.138;0.921;1;0.344;0.316;0.617;0.179;0.949;0.071;0.563;0.881;0.348;0.691;0.165;0.339;0.162;-0.044;2.691;0.818;0.969
happy;0.065;0.537;6.709;96.86;1.98;0.156;0.525;-0.075;-0.059;0.079;0.449;0.304;-0.034;-0.095;0.058;-0.193;-0.198;88.295;0.153;1429.326;0.027;0.101;8577.89;4.21;0.353;0.547;3572.647;4008.798;1.232;3.429;0.079;0.913;0.082;0.342;0.198;0.25;0.347;0.117;0.358;0.174;1;0.597;0.36;0.266;0.364;0.17;-0.159;0.792;0.833;0.969
happy;0.077;0.552;7.346;189.398;2.332;0.214;0.324;0.19;0.076;0.083;0.183;0.062;0.029;0.061;0.062;-0.007;-0.002;226.424;0.064;1425.525;0.027;0.027;6821.609;4.533;0.546;0.478;2965.568;3525.748;1.514;4.507;0.062;0.903;0.541;0.741;0.937;0.379;1;0.761;0.345;0.692;0.649;0.996;0.902;0.439;0.333;0.153;-0.002;1.346;0.818;0.971
happy;0.222;0.565;7.911;101.969;2.051;0.069;0.304;0.034;-0.006;-0.01;-0.106;0.136;-0.088;0.019;0.24;0.153;0.154;1276.603;0.236;1271.927;0.031;-0.002;8627.202;3.241;0.479;0.547;3667.552;4141.886;1.298;3.589;0.082;0.914;0.745;0.078;0.506;0.156;0.039;0.12;0.019;0.481;0.353;0.763;1;0.595;0.349;0.163;-0.154;0.897;0.843;0.968
happy;0.132;0.537;6.849;193.967;1.509;0.156;-0.071;0.176;0.379;0.075;0.074;-0.109;0.054;0.142;0.15;-0.041;-0.042;539.472;0.171;2049.163;0.024;-0.165;9331.636;4.21;0.46;0.611;4248.857;4172.776;0.966;2.914;0.091;0.927;0.294;0.124;0.332;0.052;0.695;0.449;0.056;0.353;0.395;1;0.524;0.773;0.332;0.161;-0.053;2.243;0.829;0.967
happy;0.112;0.631;9.247;108.028;1.418;-0.533;0.279;-0.243;0.078;-0.029;-0.036;0.139;0.036;0.136;0.15;0.039;0.012;203.745;-0.044;1552.391;0.03;0.075;6513.962;2.907;0.758;0.58;2969.485;2868.283;1.085;3.156;0.019;0.899;0.329;0.265;0.313;0.129;0.936;0.131;0.057;0.474;0.437;1;0.387;0.379;0.314;0.162;0.175;0.449;0.823;0.963
happy;0.108;0.573;6.77;79.967;2.263;-0.564;0.622;0.073;0.252;0.026;0.009;-0.103;-0.047;-0.034;0.03;0.033;0.058;389.512;0.006;1254.877;0.029;0.095;4223.431;3.809;0.328;0.492;2264.818;2417.838;1.957;7.143;0.027;0.887;0.805;1;0.089;0.016;0.611;0.85;0.523;0.727;0.113;0.21;0.158;0.635;0.384;0.163;-0.033;2.691;0.851;0.97
happy;0.167;0.582;7.888;189.594;2.189;0.42;0.44;0.148;0.54;0.215;-0.003;0.004;0.05;0.128;-0.033;0.116;0.183;781.934;-0.236;1054.986;0.02;-0.188;7602.524;3.775;0.653;0.46;3091.534;3786.926;1.376;3.909;0.062;0.897;0.458;0.268;0.408;0.338;0.135;0.248;0.204;0.761;1;0.58;0.412;0.472;0.339;0.154;-0.07;1.682;0.851;0.965
happy;0.168;0.473;6.334;94.38;2.127;0.42;0.953;0.282;0.286;0.204;-0.407;0.096;-0.213;-0.194;0.039;0.088;0.22;404.469;0.007;1045.911;0.022;0.007;7892.697;5.279;0.128;0.501;3342.102;4038.557;1.382;3.882;0.066;0.899;0.177;0.007;0.432;0.087;0.006;0.006;0.013;0.257;0.106;1;0.502;0.138;0.338;0.167;-0.098;0.961;0.799;0.968
happy;0.151;0.578;7.055;144.526;2.056;-0.1;0.442;-0.121;0.085;-0.271;0.398;0.105;-0.062;-0.067;0.085;0.044;-0.332;395.602;0.062;1198.897;0.023;0.12;7037.614;2.305;0.371;0.509;2998.592;3525.256;1.481;4.318;0.046;0.899;0.255;0.278;0.554;0.122;1;0.351;0.952;0.712;0.287;0.774;0.424;0.72;0.396;0.184;0.082;2.243;0.829;0.967
happy;0.25;0.629;10.962;117.015;2.292;-0.017;-0.082;0.361;-0.065;-0.093;0.128;0.168;-0.144;-0.055;-0.047;-0.113;-0.033;761.875;-0.079;1487.037;0.052;0.189;9992.31;2.406;0.856;0.577;4313.515;4418.882;0.873;2.477;0.096;0.925;0.411;0.179;0.218;0.399;0.357;0.787;0.442;0.778;1;0.386;0.495;0.381;0.396;0.186;-0.104;4.486;0.827;0.967
happy;0.117;0.561;6.039;150.534;1.974;0.514;0.462;0.068;0.181;0.022;-0.089;0.084;-0.066;0.237;0.181;-0.018;-0.04;406.817;0.087;1672.309;0.029;-0.103;7616.067;4.377;0.533;0.526;3348.079;3720.356;1.263;3.652;0.053;0.91;0.628;0.336;0.703;0.548;0.404;0.51;0.284;1;0.779;0.477;0.735;0.518;0.332;0.143;-0.051;0.961;0.831;0.968
happy;0.108;0.48;5.592;147.388;1.756;-1.048;1.026;-0.697;0.161;0.133;-0.069;-0.015;0.341;-0.041;0.131;0.059;0.111;634.23;0;1870.668;0.019;0.163;3379.409;4.611;0.341;0.598;2063.71;1477.97;0.921;4.985;0.006;0.874;1;0.8;0.541;0.55;0.153;0.534;0.187;0.58;0.251;0.533;0.367;0.761;0.386;0.176;0.071;2.243;0.827;0.966
happy;0.065;0.537;6.668;122.192;1.92;-0.41;0.415;-0.102;0.255;-0.053;-0.146;-0.202;-0.213;-0.233;0.025;0.252;0.277;122.245;0.056;1908.482;0.031;0.102;7936.331;3.608;0.23;0.602;3677.868;3957.747;1.453;4.128;0.068;0.914;1;0.559;0.595;0.01;0.262;0.063;0.188;0.55;0.06;0.501;0.884;0.75;0.405;0.217;-0.178;1.922;0.795;0.967
happy;0.086;0.614;7.241;133.204;1.075;-0.089;0.415;0.163;0.374;0.073;0.088;-0.118;-0.02;0.042;0.01;0.049;0.058;416.606;0.101;2661.708;0.033;0.223;6038.591;2.74;0.375;0.663;3196.204;2601.511;0.858;2.968;0.013;0.913;0.605;0.238;0.456;0.502;0.634;0.835;1;0.637;0.461;0.921;0.832;0.819;0.348;0.174;0.025;2.243;0.851;0.966
happy;0.155;0.481;7.382;102.87;1.231;-0.166;0.58;-0.287;0.386;-0.157;0.032;0.158;-0.139;0.081;0.011;-0.019;-0.022;1639.517;-0.304;2364.027;0.026;0.156;6082.583;4.477;0.403;0.668;3241.032;2811.415;1.287;4.491;0.039;0.916;0.61;0.531;0.525;0.624;0.904;0.758;0.867;1;0.78;0.847;0.497;0.745;0.343;0.15;0.089;3.364;0.841;0.968
happy;0.282;0.517;5.832;146.351;1.78;-0.17;0.253;-0.074;-0.099;-0.079;-0.141;0.081;0.101;0.044;-0.132;-0.066;-0.082;3236.05;-0.264;1617.045;0.025;0.046;6505.025;4.243;0.576;0.558;3052.332;3145.186;1.363;4.254;0.063;0.911;0.197;0.023;0.239;0.016;0.208;0.03;0.03;0.292;0.183;1;0.17;0.186;0.295;0.153;0.113;0.641;0.761;0.969
